TeamID,Team
2000,Abilene Christian
2005,Air Force
2006,Akron
2010,Alabama A&M
333,Alabama
2011,Alabama State
399,Albany
2016,Alcorn State
44,American
2026,Appalachian State
9,Arizona State
12,Arizona
8,Arkansas
2032,Arkansas State
2029,Arkansas-Pine Bluff
349,Army
2,Auburn
2046,Austin Peay
252,BYU
2050,Ball State
239,Baylor
91,Bellarmine
2057,Belmont
2066,Binghamton
68,Boise State
103,Boston College
104,Boston University
189,Bowling Green
71,Bradley
225,Brown
2803,Bryant
2083,Bucknell
2084,Buffalo
2086,Butler
2934,CSU Bakersfield
2239,CSU Fullerton
2463,CSU Northridge
13,Cal Poly
2856,California Baptist
25,California
2097,Campbell
2099,Canisius
2110,Central Arkansas
2115,Central Connecticut
2117,Central Michigan
232,Charleston
2127,Charleston Southern
2429,Charlotte
236,Chattanooga
2130,Chicago State
2132,Cincinnati
228,Clemson
325,Cleveland State
324,Coastal Carolina
2142,Colgate
38,Colorado
36,Colorado State
171,Columbia
2154,Coppin State
172,Cornell
156,Creighton
159,Dartmouth
2166,Davidson
2168,Dayton
305,DePaul
48,Delaware
2169,Delaware State
2172,Denver
2174,Detroit Mercy
3101,Dixie State
2181,Drake
2182,Drexel
150,Duke
2184,Duquesne
151,East Carolina
2193,East Tennessee State
2197,Eastern Illinois
2198,Eastern Kentucky
2199,Eastern Michigan
331,Eastern Washington
2210,Elon
339,Evansville
2217,Fairfield
161,Fairleigh Dickinson
50,Florida A&M
2226,Florida Atlantic
57,Florida
526,Florida Gulf Coast
2229,Florida International
52,Florida State
2230,Fordham
278,Fresno State
231,Furman
2241,Gardner-Webb
2244,George Mason
45,George Washington
46,Georgetown
61,Georgia
290,Georgia Southern
2247,Georgia State
59,Georgia Tech
2250,Gonzaga
2755,Grambling
2253,Grand Canyon
2739,Green Bay
2261,Hampton
42,Hartford
108,Harvard
62,Hawai'i
2272,High Point
2275,Hofstra
107,Holy Cross
2277,Houston Baptist
248,Houston
47,Howard
85,IUPUI
304,Idaho State
70,Idaho
356,Illinois
2287,Illinois State
2916,Incarnate Word
84,Indiana
282,Indiana State
314,Iona
2294,Iowa
66,Iowa State
2296,Jackson State
294,Jacksonville
55,Jacksonville State
256,James Madison
2305,Kansas
2306,Kansas State
338,Kennesaw State
2309,Kent State
96,Kentucky
99,LSU
2325,La Salle
322,Lafayette
2320,Lamar
2329,Lehigh
2335,Liberty
288,Lipscomb
2031,Little Rock
299,Long Beach State
112358,Long Island University
2344,Longwood
309,Louisiana
2348,Louisiana Tech
97,Louisville
2352,Loyola (MD)
2350,Loyola Chicago
2351,Loyola Marymount
311,Maine
2363,Manhattan
2368,Marist
269,Marquette
276,Marshall
120,Maryland
2377,McNeese
235,Memphis
2382,Mercer
2771,Merrimack
193,Miami (OH)
2390,Miami
127,Michigan State
130,Michigan
2393,Middle Tennessee
270,Milwaukee
135,Minnesota
344,Mississippi State
2400,Mississippi Valley State
2623,Missouri State
142,Missouri
2405,Monmouth
149,Montana
147,Montana State
2413,Morehead State
2415,Morgan St
116,Mount St. Mary's
93,Murray State
152,NC State
2885,NJIT
2426,Navy
158,Nebraska
2440,Nevada
160,New Hampshire
167,New Mexico
166,New Mexico State
2443,New Orleans
315,Niagara
2447,Nicholls
2450,Norfolk St
2453,North Alabama
2448,North Carolina A&T
2428,North Carolina Central
153,North Carolina
155,North Dakota
2449,North Dakota State
2454,North Florida
249,North Texas
111,Northeastern
2464,Northern Arizona
2458,Northern Colorado
2459,Northern Illinois
2460,Northern Iowa
94,Northern Kentucky
2466,Northwestern State
77,Northwestern
87,Notre Dame
2473,Oakland
195,Ohio
194,Ohio State
201,Oklahoma
197,Oklahoma State
295,Old Dominion
145,Ole Miss
2437,Omaha
198,Oral Roberts
2483,Oregon
204,Oregon State
279,Pacific
213,Penn State
219,Pennsylvania
2492,Pepperdine
221,Pittsburgh
2501,Portland
2502,Portland State
2504,Prairie View A&M
2506,Presbyterian
163,Princeton
2507,Providence
2509,Purdue
2870,Purdue Fort Wayne
2514,Quinnipiac
2515,Radford
227,Rhode Island
242,Rice
257,Richmond
2520,Rider
2523,Robert Morris
164,Rutgers
2545,SE Louisiana
2565,SIU Edwardsville
2567,SMU
16,Sacramento State
2529,Sacred Heart
2603,Saint Joseph's
139,Saint Louis
2608,Saint Mary's
2612,Saint Peter's
2534,Sam Houston State
2535,Samford
21,San Diego State
301,San Diego
2539,San Francisco
23,San José St
2541,Santa Clara
2547,Seattle U
2550,Seton Hall
2561,Siena
6,South Alabama
2579,South Carolina
2569,South Carolina State
2908,South Carolina Upstate
233,South Dakota
2571,South Dakota State
58,South Florida
2546,Southeast Missouri State
79,Southern Illinois
2582,Southern
2572,Southern Miss
253,Southern Utah
179,St. Bonaventure
2597,St. Francis (BKN)
2598,St. Francis (PA)
2599,St. John's
24,Stanford
2617,Stephen F. Austin
56,Stetson
2619,Stony Brook
183,Syracuse
2628,TCU
2627,Tarleton
218,Temple
2634,Tennessee State
2635,Tennessee Tech
2633,Tennessee
245,Texas A&M
357,Texas A&M-CC
251,Texas
2640,Texas Southern
326,Texas State
2641,Texas Tech
2643,The Citadel
2649,Toledo
119,Towson
2653,Troy
2655,Tulane
202,Tulsa
5,UAB
302,UC Davis
300,UC Irvine
27,UC Riverside
28,UC San Diego
2540,UC Santa Barbara
2116,UCF
26,UCLA
41,UConn
82,UIC
2433,UL Monroe
140,UM Kansas City
2378,UMBC
2349,UMass Lowell
113,UMass
2427,UNC Asheville
2430,UNC Greensboro
350,UNC Wilmington
2439,UNLV
30,USC
250,UT Arlington
2630,UT Martin
292,UT Rio Grande Valley
2638,UTEP
2636,UTSA
328,Utah State
254,Utah
3084,Utah Valley
2670,VCU
2678,VMI
2674,Valparaiso
238,Vanderbilt
261,Vermont
222,Villanova
258,Virginia
259,Virginia Tech
2681,Wagner
154,Wake Forest
264,Washington
265,Washington State
2692,Weber State
277,West Virginia
2717,Western Carolina
2710,Western Illinois
98,Western Kentucky
2711,Western Michigan
2724,Wichita State
2729,William & Mary
2737,Winthrop
275,Wisconsin
2747,Wofford
2750,Wright State
2751,Wyoming
2752,Xavier
43,Yale
2754,Youngstown State
